Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"labelIdVar = getElementPropertyValue(response2, ""id"", CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:30,2022-02-15 18:02:30,0.015s,PASSED
"response3 = sendRequest(findTestObject(""Trello/Label on Board/Update the Created Label on a Board"", [""idLabel"":labelIdVar, ""updatedName"":updatedNameVar]))",,,,2022-02-15 18:02:30,2022-02-15 18:02:30,0.722s,PASSED
"verifyResponseStatusCode(response3, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:30,2022-02-15 18:02:30,0.002s,PASSED
"containsString(response3, updatedNameVar, false, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:30,2022-02-15 18:02:30,0.000s,PASSED
"response4 = sendRequest(findTestObject(""Trello/Label on Board/Delete the Created Label"", [""idLabel"":labelIdVar]))",,,,2022-02-15 18:02:30,2022-02-15 18:02:31,0.711s,PASSED
"verifyResponseStatusCode(response4, 200, CONTINUE_ON_FAILURE)",,,,2022-02-15 18:02:31,2022-02-15 18:02:31,0.000s,PASSED
,,,,,,,
Test Cases/Trello Api Automation/TC13 Create a Webhook - Get data from Webhook - Update a Webhook - Delete a Webhook,,,,2022-02-15 18:02:31,2022-02-15 18:02:37,6.307s,PASSED
"boardNameVar = ""Trello Board Creation """,,,,2022-02-15 18:02:31,2022-02-15 18:02:31,0.000s,PASSED
"nameofListVar = ""My List""",,,,2022-02-15 18:02:31,2022-02-15 18:02:31,0.000s,PASSED
"cardNameVar = ""My card""",,,,2022-02-15 18:02:31,2022-02-15 18:02:31,0.000s,PASSED
"descriptionVar = ""Introduction to Webhook""",,,,2022-02-15 18:02:31,2022-02-15 18:02:31,0.000s,PASSED
"response1 = sendRequest(findTestObject(""Trello/Board Creation"", [""urlBoard"":url_Board, ""boardName"":boardNameVar]))",,,,2022-02-15 18:02:31,2022-02-15 18:02:32,0.838s,PASSED
